"filename", "language", "Properties", "Markdown", "Python", "Java", "Scala", "Go", "XML", "Log", "C++", "HTML", "C#", "JSON", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\questions\s00200\q103.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 3, 36
"c:\Users\where\Documents\github\code\questions\s00200\q104.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 18
"c:\Users\where\Documents\github\code\questions\s00200\q105.2.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 22
"c:\Users\where\Documents\github\code\questions\s00200\q105.py", "Python", 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 38
"c:\Users\where\Documents\github\code\questions\s00200\q106.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 26
"c:\Users\where\Documents\github\code\questions\s00200\q107.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 29
"c:\Users\where\Documents\github\code\questions\s00200\q108.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 20
"c:\Users\where\Documents\github\code\questions\s00200\q109.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 1, 32
"c:\Users\where\Documents\github\code\questions\s00200\q110.py", "Python", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 25
"c:\Users\where\Documents\github\code\questions\s00200\q111.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 28
"c:\Users\where\Documents\github\code\questions\s00200\q112.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 24
"c:\Users\where\Documents\github\code\questions\s00200\q113.py", "Python", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 24
"c:\Users\where\Documents\github\code\questions\s00200\q114.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 28
"c:\Users\where\Documents\github\code\questions\s00200\q115.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 25
"c:\Users\where\Documents\github\code\questions\s00200\q95.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 36
"c:\Users\where\Documents\github\code\questions\s00200\q96.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 24
"c:\Users\where\Documents\github\code\questions\s00200\q97.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 37
"c:\Users\where\Documents\github\code\questions\s00200\q98.py", "Python", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 24
"c:\Users\where\Documents\github\code\questions\s00200\q99.py", "Python", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 35
"c:\Users\where\Documents\github\code\readme.md", "Markdown", 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 83
"c:\Users\where\Documents\github\code\scala\tree\Node$.class", "Java", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
"c:\Users\where\Documents\github\code\scala\tree\Node.class", "Java", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50
"c:\Users\where\Documents\github\code\scala\tree\Test$.class", "Java", 0, 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46
"c:\Users\where\Documents\github\code\scala\tree\Test$delayedInit$body.class", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\where\Documents\github\code\scala\tree\Test.class", "Java", 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\where\Documents\github\code\scala\tree\TreeNode$.class", "Java", 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25
"c:\Users\where\Documents\github\code\scala\tree\TreeNode.class", "Java", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82
"c:\Users\where\Documents\github\code\scala\tree\TreeNodeT.class", "Java", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\where\Documents\github\code\scala\tree\tree.scala", "Scala", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\where\Documents\github\code\search.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\where\Documents\github\code\specialR.md", "Markdown", 0, 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 82
"c:\Users\where\Documents\github\code\working\special.md", "Markdown", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\where\Documents\github\code\working\testPrint.py", "Python", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 17, 56
"Total", "-", 1, 977, 38516, 1047, 277, 1776, 154, 126, 735, 247, 500, 4456, 5580, 9671, 64063
