"filename", "language", "Java", "Scala", "Python", "XML", "Markdown", "C++", "JavaScript", "CSS", "HTML", "JSON", "Log", "Go", "C#", "Properties", "Go Module File", "JSON with Comments", "comment", "blank", "total"
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\fenwick0IndexRangeAddRangeQuery.py", "Python", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 43
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\fenwickTree.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\fenwickTreeReverseCount.py", "Python", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 30
"c:\Users\where\Documents\github\code\algorithm\advancedDS\fenwickTree\indexSegment.py", "Python", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\SuffixTree\README.md", "Markdown", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\SuffixTree\SuffixTree\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\SuffixTree\SuffixTree\modules.py", "Python", 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 10, 68
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\SuffixTree\SuffixTree\suffixtree.py", "Python", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 22, 214
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\SuffixTree\test.py", "Python", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 4, 37
"c:\Users\where\Documents\github\code\algorithm\advancedDS\suffixTree\index.md", "Markdown", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 12
"c:\Users\where\Documents\github\code\algorithm\array\ArrayChangeWithK\arrayChangeWithK.py", "Python", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 34
"c:\Users\where\Documents\github\code\algorithm\array\ArrayChangeWithK\arrayChangeWithK2.py", "Python", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"c:\Users\where\Documents\github\code\algorithm\array\index.md", "Markdown", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30
"c:\Users\where\Documents\github\code\algorithm\array\maxMsubSum.py", "Python", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 28
"c:\Users\where\Documents\github\code\algorithm\array\minRange.py", "Python", 0, 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 3, 40
"c:\Users\where\Documents\github\code\algorithm\array\nextsmall.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 27
"c:\Users\where\Documents\github\code\algorithm\array\nextsmall2.py", "Python", 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 25
"c:\Users\where\Documents\github\code\algorithm\array\subArraySum.md", "Markdown", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 45
"c:\Users\where\Documents\github\code\algorithm\backtrack\backtrack.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"c:\Users\where\Documents\github\code\algorithm\backtrack\backtrack2.py", "Python", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\where\Documents\github\code\algorithm\backtrack\permutetion.py", "Python", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\where\Documents\github\code\algorithm\backtrack\samples\q1.1.py", "Python", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 24
"c:\Users\where\Documents\github\code\algorithm\backtrack\samples\q1.2.py", "Python", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 25
"c:\Users\where\Documents\github\code\algorithm\backtrack\samples\q1.py", "Python", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 5, 45
"c:\Users\where\Documents\github\code\algorithm\backtrack\samples\q473.py", "Python", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\where\Documents\github\code\algorithm\backtrack\samples\q473剪枝.py", "Python", 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 40
