"","13A1W4jLPP75pzvn2qJ5KyyqG3qPSpb9jM:5000000000","1231660825","100"
"","16cAVR3SQbNzu8KZtGdo8cG1iueWpcngxz:5000000000","1231660146","99"
"","1yNErqkG6GFaQTkRjrp38nqpVFn7QJnhV:5000000000","1231659133","98"
"","1Bq1TLyuvZLvu73eueduUMhBL2QfYDeoNt:5000000000","1231658068","97"
"","12XPHPCGYz1WgRhquiAfVeAyjZ7Gbdpih3:5000000000","1231657185","96"
"","18GyZ216oMhpCbZ7JkKZyT8x68v2a8HuNA:5000000000","1231656204","95"
"","1PHG1AoZJ5yyg6MV2fkqYCuDDik2NTfzfm:5000000000","1231655581","94"
"","1LNV5xnjneJwXc6jN8X2co586gjiSz6asS:5000000000","1231655037","93"
"","1DRzyGtGkXYnFz9n9qxnTFbGpYBv4FNmYM:5000000000","1231654561","92"
"","1BnhHuk62o9tPuG5JerexTX3MhnR8sobLm:5000000000","1231654229","91"
"","1KMYVBvfMAUZH4gpRknxvKxbqATMAfuu4x:5000000000","1231653550","90"
"","1KSHc1tmsUhS9f1TD6RHR8Kmwg9Zv8WhCt:5000000000","1231653209","89"
"","133xmQyVGHnyQwr2pYNiHUMeDUS3mYVsB7:5000000000","1231652408","88"
"","12jiJuWynwFcqbNyoay5Sy9pmJn9dsFRgh:5000000000","1231651888","87"
"","15eCuQ4Kd25VDhtv9Pko6DL3tt1ACa3tR8:5000000000","1231650986","86"
"","135uQWV3vn5JNgQrWcLd6gWr9S2ybj2BB7:5000000000","1231650483","85"
"","1HWP2q1RjpRbjm2K5ZPFnnfbnpNjN7XJWj:5000000000","1231649497","84"
"","1DmJE9Z1Teye3JmxhoDUcmnMmubCg8dNtF:5000000000","1231648583","83"
"","1NHVxANujgiDvPxNLQ1cc5B8AEisnx2Yz6:5000000000","1231647491","82"
"","1KmbQCNdfCDkEB6yWw5iLjBTGJ5MYptqAL:5000000000","1231646456","81"
"","1BwWdLV5wbnZvSYfNA8zaEMqEDDjvA99wX:5000000000","1231646077","80"
"","12ti6ZDtjJTFnfSXJD1yZeojFdc1u4nJcS:5000000000","1231645607","79"
"","1AiBYt8XbsdyPAELFpcSwRpu45eb2bArMf:5000000000","1231635654","78"
"","1H2nuVj2EnEVoYSw3opGjVxJdDqnehiYWN:5000000000","1231633184","77"
"","19X7soRFwUCRX8aUc3NrRZddHgpLmFmpzc:5000000000","1231632554","76"
"","14U5EYTN54agAngQu92D9gESvHYfKw8EqA:5000000000","1231631822","75"
"","1FnbdYntfohuZ1EhZ7f9oiT2R5sDsZBohL:5000000000","1231631189","74"
"","1Ky8dP7oR1cBeg1MzkrgHAeHAHyn92DCar:5000000000","1231630288","73"
"","1K2UaAY9jfz7wUxadbD3ivBLGqrcF4ai8M:5000000000","1231629194","72"
"","19CAnt15TpQrJ9gjmdZZsLcwRj8E1mkqPP:5000000000","1231628459","71"
"","1NnYa2jL24hLgXBbk3TAXHANUQEzXNnSHg:5000000000","1231627646","70"
"","1JgpRwCt8rm29g3y4FkVKWWck8qEeKgfZv:5000000000","1231626979","69"
"","1GPrHBrbFjzGVTwA4P4y5QnaDhd3GCYU5x:5000000000","1231626618","68"
